bpid,mlbid,Name,Age,Team,WARP,DRA-,DRA,DRA SD,cFIP,G,GS,GR,IP,W,L,SV,ERA,RA9,FIP,WHIP,K%,BB%,K/BB,Whiff%
31338,279571,Matt Belisle,37,MIN,0.9,102,4.81,0.66,107,62,0,62,60.3,2,2,9,4.03,4.62,4.07,1.16,21.9,8.9,2.5,23.4
99999,572021,James Pazos,26,SEA,0.9,81,3.8,0.7,84,59,0,59,53.7,4,5,0,3.86,5.03,4.05,1.4,27.1,10,2.7,27.2
31948,458006,Matt Albers,34,WSH,0.8,77,3.6,0.54,83,63,0,63,61,7,2,2,1.62,1.77,3.4,0.85,27,7.3,3.7,23
102705,641941,Emilio Pagán,26,SEA,0.8,86,4.05,0.68,96,34,0,34,50.3,2,3,0,3.22,3.58,3.28,0.93,28.6,4.1,7,27.8
52231,453343,Mark Melancon,32,SF,0.8,93,4.39,0.73,91,32,0,32,30,1,2,11,4.5,4.8,3.22,1.43,22.3,4.6,4.8,23
45951,488846,Brian Duensing,34,CHC,0.8,84,3.93,0.57,87,68,0,68,62.3,1,1,0,2.74,2.74,3.41,1.22,23.7,7,3.4,25.5
67355,593576,Héctor Neris,28,PHI,0.8,81,3.82,0.66,90,74,0,74,74.7,4,5,26,3.01,3.13,3.71,1.26,26.9,8.1,3.3,33.8
68702,592811,Andrew Triggs,28,OAK,0.8,110,5.17,0.76,104,12,12,0,65.3,5,6,0,4.27,5.79,4.47,1.33,17.7,6.7,2.6,24.6
58289,543883,Nick Vincent,30,SEA,0.8,104,4.87,0.67,106,69,0,69,64.7,3,3,0,3.2,3.2,2.82,1.16,19.1,5,3.8,20
59351,523260,Joe Kelly,29,BOS,0.8,99,4.67,0.59,101,54,0,54,58,4,1,0,2.79,2.95,3.49,1.19,21.8,11.3,1.9,24.5
66859,591693,Edubray Ramos,24,PHI,0.8,75,3.54,0.63,82,59,0,59,57.7,2,7,0,4.21,4.53,2.91,1.47,29.3,10.9,2.7,27.7
101433,623430,Ryan Dull,27,OAK,0.7,89,4.19,0.77,95,49,0,49,42,2,2,0,5.14,6.43,4.54,1.26,25.4,9,2.8,29.3
